Base de Datos de personas;;;;;
Fuente de Datos: Aleatorio;;;;;
Esto es Aleatorio de acuerdo a las reglas de protección de datos de las personas;;;;;
;;;;;
Id de la persona;Edad;Nombre;Latitud;Longitud;Distrito de procedencia
;;;;;
ID_PERSONA;EDAD;NOMBRE;LATITUD;LONGITUD;DISTRITO
1;27;Persona 1;-12.06936566;-77.04709845;JESUS MARIA
2;8;Persona 2;-12.08077066;-77.03323441;LINCE
3;27;Persona 3;-12.08446261;-77.05731086;JESUS MARIA
4;38;Persona 4;-12.07092372;-77.04727138;JESUS MARIA
5;29;Persona 5;-12.07296762;-77.02454916;LA VICTORIA
6;28;Persona 6;-12.06256011;-77.05171183;BREÑA
7;27;Persona 7;-12.08294098;-77.03533413;LINCE
8;28;Persona 8;-12.08818026;-77.05492664;JESUS MARIA
9;57;Persona 9;-12.08422957;-77.03772848;LINCE
10;20;Persona 10;-12.08331915;-77.04761519;JESUS MARIA
11;34;Persona 11;-12.08849709;-77.01943953;LA VICTORIA
12;71;Persona 12;-12.07804607;-77.0547437;JESUS MARIA
13;13;Persona 13;-12.06886376;-77.00241861;LA VICTORIA
14;28;Persona 14;-12.08360889;-77.05389537;JESUS MARIA
15;38;Persona 15;-12.07772425;-77.043538;JESUS MARIA
16;27;Persona 16;-12.06155873;-77.02280399;LA VICTORIA
17;28;Persona 17;-12.0741404;-77.02611199;LA VICTORIA
18;37;Persona 18;-12.07605143;-77.04282104;JESUS MARIA
19;18;Persona 19;-12.06546528;-77.04546089;JESUS MARIA
20;27;Persona 20;-12.08864901;-77.03260084;LINCE
21;40;Persona 21;-12.06985223;-77.07179254;PUEBLO LIBRE
22;27;Persona 22;-12.06507589;-77.03908438;JESUS MARIA
23;29;Persona 23;-12.08186179;-77.061219;PUEBLO LIBRE
24;31;Persona 24;-12.08820202;-77.05690021;JESUS MARIA
25;52;Persona 25;-12.06080177;-77.05204876;BREÑA
26;39;Persona 26;-12.06043988;-77.02505003;LA VICTORIA
27;80;Persona 27;-12.06884992;-77.0200605;LA VICTORIA
28;35;Persona 28;-12.07837047;-77.05352759;JESUS MARIA
29;20;Persona 29;-12.06806278;-77.03012886;LA VICTORIA
30;25;Persona 30;-12.06782737;-77.01773098;LA VICTORIA
31;54;Persona 31;-12.0669659;-77.04618212;JESUS MARIA
32;37;Persona 32;-12.06332882;-77.04537799;BREÑA
33;9;Persona 33;-12.08551953;-77.0601243;JESUS MARIA
34;17;Persona 34;-12.05628676;-77.04817831;BREÑA
35;20;Persona 35;-12.08611056;-77.05776373;JESUS MARIA
36;27;Persona 36;-12.07200384;-77.04123011;JESUS MARIA
37;25;Persona 37;-12.08769436;-77.05278452;JESUS MARIA
38;21;Persona 38;-12.07377902;-77.0477674;JESUS MARIA
39;38;Persona 39;-12.08592395;-77.05835962;JESUS MARIA
40;19;Persona 40;-12.05575088;-77.04204816;BREÑA
41;34;Persona 41;-12.0802051;-77.05175316;JESUS MARIA
42;26;Persona 42;-12.05808375;-77.01852176;LA VICTORIA
43;46;Persona 43;-12.07798789;-77.05020154;JESUS MARIA
44;23;Persona 44;-12.06183904;-77.02467695;LA VICTORIA
45;30;Persona 45;-12.07285428;-77.05722564;PUEBLO LIBRE
46;36;Persona 46;-12.0832239;-77.06777391;PUEBLO LIBRE
47;32;Persona 47;-12.07470019;-77.01657732;LA VICTORIA
48;73;Persona 48;-12.06773858;-77.06656177;PUEBLO LIBRE
49;29;Persona 49;-12.07551245;-77.04167769;JESUS MARIA
50;22;Persona 50;-12.07485661;-77.04960118;JESUS MARIA
51;28;Persona 51;-12.07509856;-77.04723405;JESUS MARIA
